City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bukoba,-1.33,31.81,67.55,83,88,3.98,TZ,1599525027
Nyrob,60.73,56.72,48.83,96,100,4.0,RU,1599525027
Prince Rupert,54.32,-130.32,66.2,63,1,8.05,CA,1599525028
Airai,-8.93,125.41,74.1,44,93,5.41,TL,1599525029
Severo-Kuril'sk,50.68,156.12,55.83,86,86,12.55,RU,1599525029
Progreso,21.28,-89.67,84.99,66,75,4.7,MX,1599525029
Rome,43.21,-75.46,75.2,50,90,8.05,US,1599524757
Mahébourg,-20.41,57.7,69.8,100,20,4.7,MU,1599525030
Longyearbyen,78.22,15.64,37.4,74,40,2.8,SJ,1599525030
Castro,-24.79,-50.01,65.07,66,88,4.25,BR,1599525031
Sharjah city,25.36,55.4,89.6,66,0,3.36,AE,1599525031
Kualakapuas,-3.01,114.39,78.8,88,40,2.24,ID,1599525032
Yaviza,8.15,-77.69,74.84,94,98,1.36,PA,1599525033
Yakeshi,49.28,120.73,61.63,74,100,13.29,CN,1599525033
Zaraysk,54.77,38.88,59.7,45,99,12.24,RU,1599525033
Baley,51.6,116.63,59.59,67,0,4.81,RU,1599525034
Fortuna,40.6,-124.16,68.0,64,1,8.05,US,1599525034
Zhezkazgan,47.8,67.71,50.0,53,1,6.71,KZ,1599525035
Miranda,3.25,-76.23,75.2,64,75,6.93,CO,1599525035
Bobo-Dioulasso,11.18,-4.3,75.2,94,100,3.69,BF,1599525036
Cherskiy,68.75,161.3,46.71,60,0,14.88,RU,1599525036
Leningradskiy,69.38,178.42,42.42,70,6,15.5,RU,1599525037
Igarka,67.47,86.58,46.06,75,84,2.53,RU,1599525037
Halifax,44.65,-63.57,62.01,95,0,1.99,CA,1599525032
Conceição das Alagoas,-19.91,-48.39,84.2,17,29,3.36,BR,1599525038
Harper,4.38,-7.72,76.68,88,94,10.87,LR,1599525038
Zhigansk,66.77,123.37,45.59,70,0,13.33,RU,1599525039
Santa Fe,-31.63,-60.7,61.0,60,0,1.99,AR,1599524966
Pisco,-13.7,-76.22,61.0,77,0,13.87,PE,1599525039
Chodavaram,17.83,82.95,80.6,94,40,2.24,IN,1599525040
Vung Tau,10.35,107.08,82.31,80,23,8.41,VN,1599524890
Esperance,-33.87,121.9,46.4,100,75,10.29,AU,1599525040
Nikolskoye,59.7,30.79,50.0,93,96,3.53,RU,1599525041
Pozo Colorado,-23.49,-58.8,63.64,80,100,7.29,PY,1599525041
Souillac,-20.52,57.52,69.8,100,20,4.7,MU,1599525042
Molepolole,-24.41,25.5,55.4,53,0,2.24,BW,1599525042
Bunia,1.57,30.25,61.09,93,49,2.35,CD,1599525043
Porangatu,-13.44,-49.15,76.82,28,0,1.9,BR,1599525043
Iqaluit,63.75,-68.51,37.4,86,20,3.36,CA,1599525044
Gallup,35.53,-108.74,89.6,6,1,9.17,US,1599525044
Cockburn Town,21.46,-71.14,83.19,77,29,13.38,TC,1599525045
Katangli,51.71,143.23,57.79,80,100,4.7,RU,1599525045
Ruidoso,33.33,-105.67,84.0,17,1,5.82,US,1599524983
Avera,33.19,-82.53,80.6,69,75,3.36,US,1599525046
Rocha,-34.48,-54.33,45.97,92,52,3.85,UY,1599525046
Panabá,21.28,-88.27,78.64,80,99,7.2,MX,1599525047
Tirat Carmel,32.76,34.97,78.94,84,0,5.37,IL,1599525048
Waddān,29.16,16.14,75.72,36,0,10.13,LY,1599525048
São João da Barra,-21.64,-41.05,73.33,87,51,18.59,BR,1599525048
Byron Bay,-28.65,153.62,70.0,68,91,9.17,AU,1599524928
Grindavik,63.84,-22.43,44.6,93,90,5.82,IS,1599525049
Sola,-13.88,167.55,82.4,78,90,5.82,VU,1599525049
Peterhead,57.51,-1.8,60.8,63,100,18.34,GB,1599525050
Oddur,4.12,43.89,70.41,69,73,15.82,SO,1599525050
Hambantota,6.12,81.12,80.8,79,100,16.6,LK,1599525051
Kamsack,51.57,-101.9,42.8,52,90,11.41,CA,1599525051
Lebu,-37.62,-73.65,47.95,90,100,9.75,CL,1599525052
Pimenteiras,-6.25,-41.42,74.53,35,0,5.53,BR,1599525052
Sokoni,-6.43,39.55,69.8,94,20,9.15,TZ,1599525053
Krasnovishersk,60.41,57.08,48.79,96,100,4.07,RU,1599525053
San Quintín,30.48,-115.95,78.71,60,0,6.26,MX,1599525053
Flin Flon,54.77,-101.86,44.6,56,90,12.75,CA,1599525054
Smithers,54.78,-127.17,66.2,34,40,4.7,CA,1599525054
Lukulu,-14.37,23.24,61.74,32,0,8.77,ZM,1599525055
Snåase,64.25,12.38,51.21,84,100,6.91,NO,1599525055
Balkhash,46.84,74.98,55.72,51,0,4.07,KZ,1599525056
Codrington,-38.27,141.97,60.48,72,60,9.04,AU,1599525056
Kysyl-Syr,63.9,122.76,50.16,64,0,4.23,RU,1599525057
Leona Vicario,20.97,-87.19,82.4,78,40,3.36,MX,1599525057
Shirokiy,49.76,129.52,60.78,94,100,13.38,RU,1599525058
Rosarito,32.33,-117.03,82.4,54,40,10.29,MX,1599525058
Isangel,-19.55,169.27,77.0,83,90,5.82,VU,1599525059
Ahipara,-35.17,173.17,58.78,58,7,7.07,NZ,1599525059
Walvis Bay,-22.96,14.51,55.99,87,0,9.17,NA,1599524930
Nantucket,41.28,-70.1,64.4,88,1,6.93,US,1599525060
Vila Velha,-20.33,-40.29,77.0,83,40,10.29,BR,1599524775
Nānākuli,21.39,-158.15,87.01,58,75,11.41,US,1599525061
Escuinapa,22.85,-105.8,86.0,74,40,10.29,MX,1599525061
Altamont,42.21,-121.74,93.2,14,1,18.34,US,1599525011
Tecolutla,20.48,-97.02,82.4,78,75,6.93,MX,1599525062
Noumea,-22.28,166.46,73.0,68,90,17.22,NC,1599525062
Waliso,8.53,37.98,56.48,93,96,1.57,ET,1599525063
Faya,18.39,42.45,68.0,24,28,4.61,SA,1599525063
Kariba,-16.52,28.8,61.32,54,0,4.21,ZW,1599525064
Otradnoye,59.78,30.82,50.0,93,90,3.47,RU,1599525064
Cabo San Lucas,22.89,-109.91,84.99,69,20,8.05,MX,1599524801
Ystad,55.43,13.82,59.0,77,90,12.75,SE,1599525065
Gagnoa,6.13,-5.94,71.85,98,92,4.68,CI,1599525065
Bāndarban,22.2,92.23,79.03,87,100,1.99,BD,1599525066
Talara,-4.58,-81.27,62.31,87,64,13.35,PE,1599525066
Tilichiki,60.47,166.1,49.03,69,100,9.75,RU,1599525067
Dunedin,-45.87,170.5,51.01,70,0,11.01,NZ,1599525010
Ban Nahin,18.24,104.21,82.15,81,89,1.81,LA,1599525067
Zhanakorgan,43.91,67.25,58.86,33,0,11.81,KZ,1599525068
Klaksvík,62.23,-6.59,51.8,87,28,25.28,FO,1599525068
Asifābād,19.37,79.28,78.26,88,87,2.98,IN,1599525069
Murgab,37.5,61.97,59.0,37,0,7.14,TM,1599525069
Acapulco de Juárez,16.86,-99.89,84.2,79,40,6.93,MX,1599525070
Oussouye,12.48,-16.55,80.6,88,20,9.17,SN,1599525070
Kavieng,-2.57,150.8,85.62,71,39,13.04,PG,1599525070
Fairbanks,64.84,-147.72,68.0,32,90,19.46,US,1599525032
Aswān,24.09,32.91,91.26,21,0,14.58,EG,1599525071
Jumla,29.27,82.18,58.87,64,19,2.86,NP,1599525071
Alibag,18.64,72.88,80.6,94,75,4.7,IN,1599525072
Guangming,45.33,122.78,63.79,77,100,25.12,CN,1599525072
Biltine,14.53,20.92,78.85,67,98,6.04,TD,1599525073
Ilorin,8.5,4.55,72.37,88,96,5.28,NG,1599525073
Devils Lake,48.11,-98.87,48.2,42,40,13.87,US,1599525008
Lagoa,39.05,-27.98,70.14,80,56,19.91,PT,1599525074
Zandvoort,52.37,4.53,61.0,82,40,11.41,NL,1599525051
Pangnirtung,66.15,-65.71,38.88,72,0,1.77,CA,1599525074
Synya,65.37,58.04,55.27,91,84,10.31,RU,1599525075
Płońsk,52.62,20.38,50.0,100,0,5.82,PL,1599525075
Choix,26.71,-108.32,81.66,73,60,3.2,MX,1599525076
Koulikoro,14.0,-7.75,75.7,81,0,8.28,ML,1599525076
San Rafael,-34.62,-68.33,59.13,47,47,13.51,AR,1599525077
Bethel,41.37,-73.41,70.0,73,1,3.36,US,1599525077
Sitka,57.05,-135.33,57.2,93,90,3.36,US,1599524795
West Bay,19.37,-81.42,80.6,100,75,6.64,KY,1599525078
Filingué,14.35,3.32,80.94,70,11,7.99,NE,1599525078
Saskylakh,71.92,114.08,49.41,58,56,10.07,RU,1599525078
Mēga,4.05,38.3,57.06,92,49,14.54,ET,1599525079
Van,38.49,43.38,51.8,62,0,4.81,TR,1599525079
Lochmaben,55.13,-3.44,59.0,100,26,19.46,GB,1599525080
Lavrentiya,65.58,-171.0,45.12,68,98,22.03,RU,1599525080
Angoram,-4.06,144.07,89.55,57,2,3.96,PG,1599525081
Bow Island,49.87,-111.37,50.0,48,90,14.99,CA,1599525081
Mount Gambier,-37.83,140.77,57.2,87,75,12.75,AU,1599525082
Rantepao,-2.97,119.9,70.38,87,100,0.78,ID,1599525082
Omboué,-1.57,9.26,74.55,83,100,8.43,GA,1599525083
Adamovka,51.52,59.94,53.2,81,0,5.91,RU,1599525083
Ambon City,-3.7,128.18,81.0,94,75,9.17,ID,1599525084
Aklavik,68.22,-135.01,48.2,93,75,4.7,CA,1599525084
Tasiilaq,65.61,-37.64,37.4,86,12,8.05,GL,1599525085
Norman Wells,65.28,-126.83,57.2,62,75,4.7,CA,1599525085
Hofn,64.25,-15.21,46.35,59,0,16.55,IS,1599525086
San Patricio,19.22,-104.7,86.0,74,75,4.97,MX,1599525086
Kapoeta,4.77,33.59,68.52,87,67,3.11,SS,1599525087
Brownsville,25.9,-97.5,86.0,74,1,9.17,US,1599525087
Jijiga,9.35,42.8,62.71,76,90,12.66,ET,1599525087
Palmer,42.16,-72.33,69.8,73,75,8.05,US,1599525088
Caravelas,-17.71,-39.25,70.56,84,14,5.5,BR,1599525089
Padang,-0.95,100.35,80.62,73,0,3.58,ID,1599525089
Ambilobe,-13.2,49.05,66.34,84,44,3.04,MG,1599525090
Acaraú,-2.89,-40.12,77.67,83,17,16.02,BR,1599525090
Saint George,37.1,-113.58,100.99,8,1,16.11,US,1599525058
Nizhniy Chir,48.36,43.09,62.76,87,0,7.29,RU,1599525090
Alyangula,-13.85,136.42,82.4,54,49,10.31,AU,1599525091
Morros,-9.45,-46.3,75.79,37,0,5.88,BR,1599525091
Berbera,10.44,45.01,88.32,61,79,2.84,SO,1599525092
Hay River,60.82,-115.8,55.4,54,90,14.99,CA,1599525092
Umm Kaddadah,13.6,26.69,81.54,52,91,7.49,SD,1599525093
Bandarbeyla,9.49,50.81,74.71,81,78,24.99,SO,1599525093
Vardø,70.37,31.11,51.53,83,87,11.86,NO,1599524775
Pangai,-19.8,-174.35,71.6,88,40,5.82,TO,1599525094
Jõhvi,59.36,27.42,50.4,90,25,6.67,EE,1599525094
Nome,64.5,-165.41,55.4,76,75,11.41,US,1599525095
Olinda,-8.01,-34.86,77.0,73,40,11.41,BR,1599525095
Jieshi,22.81,115.83,81.75,82,92,10.22,CN,1599525095
Jutaí,-5.18,-68.9,80.56,53,5,2.01,BR,1599525096
San Michele al Tagliamento,45.76,12.99,66.0,76,0,1.01,IT,1599525096
Sobolevo,54.43,31.9,51.8,95,100,6.67,RU,1599525097
General Roca,-39.03,-67.58,55.4,62,0,3.36,AR,1599525098
Tura,25.52,90.22,74.8,97,100,3.67,IN,1599525098
Coquimbo,-29.95,-71.34,53.6,87,98,10.29,CL,1599525098
Kinkala,-4.36,14.76,72.61,78,52,7.16,CG,1599525099
Balkanabat,39.51,54.37,73.02,18,65,15.41,TM,1599525099
Praia,14.92,-23.51,78.8,83,75,5.82,CV,1599525099
Sigli,5.38,95.96,80.06,77,91,5.35,ID,1599525100
La Salle,41.33,-89.09,73.4,64,90,9.17,US,1599524896
West Wendover,40.74,-114.07,93.2,6,1,23.04,US,1599525101
Kawalu,-7.38,108.21,75.15,83,85,3.18,ID,1599525101
Maïné Soroa,13.21,12.02,82.62,57,77,7.78,NE,1599525101
Mapiripán,2.89,-72.13,77.74,80,100,3.74,CO,1599525102
Ankazobe,-18.32,47.12,53.6,87,40,8.05,MG,1599525102
Itacarambi,-15.1,-44.09,71.56,38,0,2.08,BR,1599525102
Kachīry,53.07,76.1,45.63,91,98,10.07,KZ,1599525103
Beba,22.44,-79.73,75.2,94,40,3.36,CU,1599525103
Salalah,17.02,54.09,78.8,88,75,6.93,OM,1599525104
Touros,-5.2,-35.46,75.2,83,0,6.93,BR,1599525104
Nara,34.69,135.8,87.01,74,75,4.7,JP,1599524840
Novikovo,51.15,37.89,59.74,39,0,5.48,RU,1599525105
Gorgan,36.84,54.43,73.4,73,76,11.41,IR,1599525105
Beira,-19.84,34.84,66.87,76,0,3.6,MZ,1599525105
Twentynine Palms,34.14,-116.05,105.8,6,90,18.34,US,1599525106
Novonikolsk,43.85,131.86,69.8,88,75,17.9,RU,1599525107
Fraga,41.52,0.35,64.99,82,0,10.29,ES,1599525107
Yulara,-25.24,130.99,82.4,14,0,6.93,AU,1599525107
Moerai,-22.43,-151.33,70.61,81,99,14.79,PF,1599525108
Sawākin,19.11,37.33,87.55,69,0,1.97,SD,1599525108
Yerbogachën,61.28,108.01,52.27,72,0,5.23,RU,1599525108
Naze,28.37,129.48,84.2,74,20,3.36,JP,1599525109
La Santisima Trinidad,-14.83,-64.9,83.48,42,85,6.02,BO,1599524850
Mirny,62.54,113.96,41.0,100,90,8.95,RU,1599525109
Tessalit,20.2,1.01,91.22,25,0,6.53,ML,1599525110
Teluknaga,-6.1,106.64,84.99,69,20,5.82,ID,1599525110
Biak,-0.91,122.88,80.2,79,81,6.04,ID,1599525111
Bongandanga,1.5,21.05,69.15,98,92,1.39,CD,1599525111
Camopi,3.17,-52.32,73.81,96,0,3.27,GF,1599525111
Laas,46.62,10.7,48.2,100,5,3.36,IT,1599525112
Sarana,56.48,57.73,49.66,90,0,2.44,RU,1599525112
Abu Samrah,35.3,37.18,75.11,24,0,3.38,SY,1599525113
Thanh Hoa,19.8,105.77,79.29,89,100,2.71,VN,1599525113
Cartagena,10.4,-75.51,84.2,79,75,10.29,CO,1599524909
Saint-Pierre,-21.34,55.48,66.2,93,75,5.82,RE,1599525114
Arraial do Cabo,-22.97,-42.03,73.4,88,40,9.17,BR,1599525114
Coolidge,32.98,-111.52,106.0,19,1,18.34,US,1599525114
Lompoc,34.64,-120.46,73.4,64,1,9.17,US,1599525060
Snyder,32.72,-100.92,93.2,30,6,13.87,US,1599525115
Mayor Pablo Lagerenza,-19.93,-60.77,70.43,58,100,10.85,PY,1599525115
Madimba,-10.4,40.33,69.12,89,29,8.32,TZ,1599525115
Graciano Sánchez,23.92,-99.28,89.6,43,40,6.93,MX,1599525116
Belyy Yar,53.6,91.39,42.8,100,90,2.24,RU,1599525116
Sovetskiy,61.36,63.58,45.16,62,99,4.76,RU,1599525117
Necochea,-38.55,-58.74,44.01,87,0,7.0,AR,1599525117
Kislovodsk,43.91,42.72,62.6,88,1,6.71,RU,1599525117
Shache,38.42,77.24,63.79,24,0,6.91,CN,1599525118
Malinovka,53.86,27.44,48.2,100,3,6.71,BY,1599525118
Abu Kamal,34.45,40.92,83.37,17,0,4.18,SY,1599525119
Itarema,-2.92,-39.92,78.01,81,2,15.93,BR,1599525119
Pyaozerskiy,65.83,31.17,46.11,93,3,6.33,RU,1599525120
Taoudenni,22.68,-3.98,98.91,18,89,11.25,ML,1599525120
Vélingara,13.15,-14.12,73.31,97,99,4.74,SN,1599525121
Arlit,18.74,7.39,91.63,30,100,5.61,NE,1599525121
Curup,-3.47,102.53,75.47,63,11,3.87,ID,1599525122
Loudéac,48.18,-2.75,57.99,10,58,1.32,FR,1599525122
Aksarka,66.56,67.8,48.88,58,100,11.07,RU,1599525123
Shubarshi,48.59,57.19,57.63,51,0,6.64,KZ,1599525123
Berezovyy,51.67,135.7,63.81,66,100,7.36,RU,1599525124
Waingapu,-9.66,120.26,83.53,58,100,12.8,ID,1599525124
Fernie,49.5,-115.07,57.2,39,75,9.17,CA,1599525124
Presidencia Roque Sáenz Peña,-26.79,-60.44,56.44,83,0,7.09,AR,1599525125
Leirvik,59.78,5.5,54.0,87,100,4.0,NO,1599525126
Grootfontein,-19.57,18.12,58.8,34,0,7.99,NA,1599525126
Bilma,18.69,12.92,91.92,22,37,11.65,NE,1599525126
Iaçu,-12.77,-40.21,70.14,84,36,5.75,BR,1599525127
Kumul,42.8,93.45,68.56,39,37,3.24,CN,1599525127
Harstad,68.8,16.53,53.6,76,100,14.99,NO,1599525128
Kampong Thom,12.71,104.89,82.89,76,100,4.23,KH,1599525128
Verkhnevilyuysk,63.45,120.32,50.92,62,14,3.02,RU,1599525129
Būlaevo,54.91,70.44,39.42,96,19,9.35,KZ,1599525129
Camacha,33.08,-16.33,71.6,83,40,2.24,PT,1599525130
Sakakah,29.97,40.21,86.0,11,0,3.36,SA,1599525130
Elizabeth City,36.29,-76.25,73.99,83,100,6.49,US,1599525081
Tondano,1.3,124.91,82.4,78,20,1.12,ID,1599525131
